Protein1,Protein2
P0AAX6,P0AB40
P10346,P31548
P10346,P36879
P10346,P07821
P10346,P30750
P10346,P37009
P10346,Q47538
P10346,P77279
P10346,P0A9T8
P10346,P23878
P10346,P0AAG3
P10346,P31134
P10346,P0AAF6
P10346,P0AAI1
P10346,P75957
P10346,P76027
P10346,P77737
P10346,P0AAH8
P10346,P0AAH4
P10346,P77795
P10346,P77622
P10346,P77268
P10346,P76909
P10346,P0A9X1
P10346,P37774
P10346,P33360
P10346,P07109
P10346,P16676
P10346,P63386
P10346,P0A9V1
P10346,P45769
P10346,P10907
P10346,P22731
P10346,P0A9S7
P10346,P0A9R7
P10346,P33593
P10346,P33594
P10346,P37313
P10346,P0AAG0
P10346,P0AAH0
P10346,P68187
P10346,P16679
P10346,P16678
P10346,P16677
P10346,P15031
P0AEQ6,P0AER5
P0AEQ6,P0AER3
P0AEQ6,P0AE30
P0AEQ6,P0AE34
P0AEQ6,P0AFT2
P0AEQ6,P0AEU3
P0AEQ6,P52094
P0AEQ3,P37902
P0AEQ3,P30860
P0AEQ3,P30859
P0AEQ3,P0AEM9
P0AEQ3,P0AEU0
P0AEQ3,P09551
P0AA67,P31437
P75788,P0AB93
P0AAX8,P75954
P0AAX8,P76193
P0AAX8,P39176
P0A9U3,P0A9U1
P0A9U3,P75796
P0A9U3,P43672
P0A9U3,P33916
P0A9U3,P77509
P0A9U3,P63389
P0A9U3,P04983
P0A9U3,Q6BEX0
P0A9U3,P0A9W3
P75792,P46891
P75792,P21829
P75792,P75809
P75792,P0A8Y5
P75792,P27848
P75793,P32674
P75794,P0A9N4
P75794,P32675
P75794,P39409
P78055,P32669
P12282,P30138
P75796,P31060
P75796,P0A9U1
P75796,P0A9U3
P75796,P43672
P75796,P77257
P75796,P0AAF3
P75796,P0AAG8
P75796,P33916
P75796,P77509
P75796,P37388
P75796,P04983
P75796,P32721
P75796,Q6BEX0
P75796,P0A9W3
P75797,P23843
P75797,Q47622
P75797,P77348
P75797,P76128
P75797,Q46863
P75797,P33590
P75797,P23847
P75798,P0AFH2
P75798,P0AGH3
P75798,P77308
P75798,P0AFU0
P75798,P33591
P75798,P0AEF8
P75799,P0AFH6
P75799,P0AGH5
P75799,P77463
P75799,P33915
P75799,P0AFA9
P75799,P0AEG1
P0AEI4,P0AEI1
P0ACA7,P0A9D2
P0ACA7,P77526
P0ACA7,Q46845
P08506,P0AEB2
P08506,P33013
P08506,P0AFI5
P0ACK5,P76034
P0ACK5,P77721
P0ACK5,P15082
P0ACK5,P52598
P0ACK5,P0ACK8
P0ACK5,P0ACK2
P0ACK5,P32144
P0ACK5,P0A9W0
P0ACK5,P39361
P0AEY8,P37597
P0AEY8,P28246
P0AEY8,P31442
P0AEY8,P31462
P0AEY8,P39386
P75809,P46891
P75809,P21829
P75809,P75792
P75809,P0A8Y5
P75809,P27848
P75810,P17583
P60869,P60872
P31133,P0AFK9
P31133,P76108
P31134,P07821
P31134,P30750
P31134,P37009
P31134,P0AAG3
P31134,P10346
P31134,P0AAF6
P31134,P69874
P31134,P76027
P31134,P0AAH8
P31134,P77795
P31134,P77622
P31134,P37774
P31134,P33360
P31134,P16676
P31134,P45769
P31134,P10907
P31134,P33593
P31134,P37313
P31134,P0AAH0
P31134,P68187
P31134,P16678
P31135,P0AFK4
P31135,P77156
P31135,P16701
P0AFL1,P0AF01
P0AFL1,P0AFK6
P0AFL1,P0AFR9
P0AFL1,P0AEB0
P0AFL1,P16701
P75817,P55135
P30860,P37902
P30860,P0AEQ3
P30860,P30859
P30860,P0AEM9
P30860,P0AEU0
P30860,P09551
P0AE30,P0AER5
P0AE30,P0AER3
P0AE30,P0AEQ6
P0AE30,P0AE34
P0AE30,P0AFT2
P0AE30,P0AEU3
P0AE30,P52094
P0AE34,P0AER5
P0AE34,P0AER3
P0AE34,P0AEQ6
P0AE34,P0AE30
P0AE34,P0AFT2
P0AE34,P0AEU3
P0AE34,P52094
P30859,P37902
P30859,P0AEQ3
P30859,P30860
P30859,P0AEM9
P30859,P0AEU0
P30859,P09551
P0AAF6,P31548
P0AAF6,P36879
P0AAF6,P07821
P0AAF6,P30750
P0AAF6,P37009
P0AAF6,Q47538
P0AAF6,P77279
P0AAF6,P0A9T8
P0AAF6,P23878
P0AAF6,P0AAG3
P0AAF6,P10346
P0AAF6,P31134
P0AAF6,P0AAI1
P0AAF6,P75957
P0AAF6,P69874
P0AAF6,P76027
P0AAF6,P77737
P0AAF6,P0AAH8
P0AAF6,P77795
P0AAF6,P77622
P0AAF6,P77268
P0AAF6,P06611
P0AAF6,P76909
P0AAF6,P0A9X1
P0AAF6,P37774
P0AAF6,P33360
P0AAF6,P07109
P0AAF6,P16676
P0AAF6,P63386
P0AAF6,P0A9V1
P0AAF6,P45769
P0AAF6,P22731
P0AAF6,P0A9S7
P0AAF6,P0A9R7
P0AAF6,P33593
P0AAF6,P33594
P0AAF6,P37313
P0AAF6,P0AAG0
P0AAF6,P0AAH0
P0AAF6,P16679
P0AAF6,P16678
P0AAF6,P16677
P0AAF6,P15031
P07003,P00893
P07003,P0AEP7
P07003,P0AFI0
P07003,P08142
P75824,P76081
P75824,P76254
P60844,P0AER0
P75830,P0AE06
P75830,P75777
P75830,P76397
P75830,P24180
P75830,P37636
P0A968,P0A972
P0A968,P0A978
P0A968,P0A986
P0A968,P36995
P0A968,P0A9Y6
P0A968,P0A9X9
P0ABH9,P63284
P23886,P77265
P23886,P0AAG5
P23886,P29018
P23886,P60752
P23886,P33941
P29018,P77265
P29018,P0AAG5
P29018,P23886
P29018,P60752
P0ACJ0,P0ACJ5
P0ACJ0,P0ACI6
P18775,P33225
P18775,P77374
P18775,P77783
P18775,P46923
P18775,P33937
P18775,P20099
P18775,P07658
P18776,P0AAJ1
P18776,P77375
P18776,P0AAL6
P18776,P23481
P18776,P0AAK4
P18776,P0AAK1
P18776,Q46819
P18776,P56256
P18776,P0AAK7
P18777,P76173
P21503,P77549
P21503,P11551
P75835,P63235
P75835,P42590
P75835,P39282
P75836,P30864
P75836,P77333
P75836,P76250
P75836,P0ACR4
P75836,P0A9F6
P75836,P45463
P75836,P67662
P75836,P37641
P0A9N4,P75794
P0A9N4,P32675
P0A9N4,P39409
P09373,P42632
P0AC23,P77733
P0AC23,P0AC26
P43674,P25894
P0A6Y1,P0ACF4
P0A6Y1,P0A6X7
P0A6Y1,P0ACF0
P60752,P77265
P60752,P0AAG5
P60752,P23886
P60752,P29018
P22523,P13458
P75849,P0AC84
P00509,P04693
P02931,P02932
P02931,P77747
P02931,P06996
P0A8M0,P21889
P0A8M0,P0A8N3
P0A8M0,P0A8N5
P0AAI1,P31548
P0AAI1,P36879
P0AAI1,P07821
P0AAI1,Q47538
P0AAI1,P77279
P0AAI1,P0A9T8
P0AAI1,P23878
P0AAI1,P0AAG3
P0AAI1,P10346
P0AAI1,P0AAF6
P0AAI1,P75957
P0AAI1,P0AAH8
P0AAI1,P77795
P0AAI1,P06611
P0AAI1,P76909
P0AAI1,P0A9X1
P0AAI1,P37774
P0AAI1,P33360
P0AAI1,P33931
P0AAI1,P07109
P0AAI1,P63386
P0AAI1,P0A9V1
P0AAI1,P45769
P0AAI1,P22731
P0AAI1,P0A9S7
P0AAI1,P0A9R7
P0AAI1,P33593
P0AAI1,P33594
P0AAI1,P0AAG0
P0AAI1,P0AAH0
P0AAI1,P16679
P0AAI1,P16678
P0AAI1,P16677
P0AAI1,P15031
P75851,Q47539
P75851,P33359
P75853,Q47537
P75855,P0ABW5
P75855,P75860
P75856,P33128
P75856,P77249
P75856,P75749
P75856,P40876
P75856,P77599
P75856,P42914
P75856,P31697
P75857,P33129
P75857,P77468
P75857,P75750
P75857,P33341
P75857,P42915
P75857,P45420
P75857,P30130
P75858,P43319
P75859,P77789
P75860,P75855
P75860,P08189
P40876,P33128
P40876,P77249
P40876,P75749
P40876,P75856
P40876,P77599
P40876,P42914
P40876,P31697
P43672,P31060
P43672,P0A9U1
P43672,P0A9U3
P43672,P75796
P43672,P77257
P43672,P0AAF3
P43672,P0AAG8
P43672,P33916
P43672,P77509
P43672,P63389
P43672,P37388
P43672,P04983
P43672,P32721
P43672,Q6BEX0
P43672,P0A9W3
P0AFL9,P0AD03
P75870,P45537
P0AAC6,P0AAC4
P69739,P69741
P0ACD8,P0ACE0
P19930,P37182
P26459,P0ABJ9
P26458,P0ABK2
P07102,P19926
P38134,P76387
P0ACZ2,P0AAB2
P0A932,P0A930
P75882,P32689
P75883,P32688
P75884,P32687
P0CF10,P0CF07
P0CF10,P0CF08
P0CF10,P0CF09
P0CF10,P0CF11
P0CF10,P0CF12
P0CF10,P19767
P57998,P0CF25
P57998,P0CF26
P57998,P0CF27
P57998,P0CF28
P57998,P0CF29
P0A982,P0A976
P0A978,P0A972
P0A978,P0A968
P0A978,P0A986
P0A978,P36995
P0A978,P0A9Y6
P0A978,P0A9X9
P0AC92,P77695
P52636,P33934
P38684,P0AFJ5
P38684,P0ACZ8
P38684,P21866
P38684,P23836
P38684,P52108
P38684,P76340
P38684,P69228
P38684,P52076
P38684,P0AA16
P38684,P0AE88
P38684,P30843
P38684,P08368
P38684,P0A9Q1
P33226,P52005
P33225,P18775
P33225,P77374
P33225,P77783
P33225,P46923
P33225,P33937
P33225,P20099
P33225,P07658
P36659,P08622
P19926,P07102
P56614,P21361
P75892,P0AGM7
P75892,P67444
P75892,Q46821
P75892,P0AGM9
P75895,P77044
P0AFQ5,P0AGL2
P0AFQ5,P0AF93
P75897,P21369
P75897,P0ADI7
P07117,P16256
P07117,P31448
P07117,P32705
P75908,P76236
P0CF82,P0CF79
P0CF82,P0CF80
P0CF82,P0CF81
P0CF82,P0CF83
P0CF82,P19769
P0CF69,P0CF66
P0CF69,P0CF67
P0CF69,P0CF68
P0CF69,P0CF70
P75915,P69853
P75919,P0AA84
P75919,P0A6H8
P33136,P40120
P25744,P77726
P25744,P69367
P25744,P31122
P25744,P43531
P25744,P28246
P25744,P41036
P25744,P39352
P0ACV0,P24205
P0ACV0,P0ACV2
P75925,P0ABE5
P75925,P76345
P69367,P77726
P69367,P25744
P69367,P31126
P75937,P0ABX5
P75938,P0ABX5
P0ABX5,P75937
P0ABX5,P75938
P0AA39,P0AA37
P0AA39,P33643
P0AA39,P0AA41
P0A729,P25536
P0AEK2,P0AFP4
P0AEK2,P15047
P0AEK2,P31808
P0AEK2,P39831
P0AEK2,P0AET8
P0AEK2,P33368
P0AEK2,P37440
P0AEK2,P0CI31
P0AEK2,P05707
P0AEK2,P76633
P0AEK2,P37769
P0AEK2,P52037
P0AEK2,P0AG84
P0AEK2,P39333
P0AEK2,P0A9P9
P0AAI5,P0A953
P0AFQ7,P27859
P0AFQ7,P39408
P69786,P09323
P69786,P19642
P16869,P06971
P16869,P75780
P00393,P37596
P75952,P67430
P75952,P39334
P0AB40,P0AAX3
P0AB40,P0AAX6
P75954,P0AAX8
P75954,P76193
P75954,P39176
P0ADC3,P75958
P75957,P31548
P75957,P36879
P75957,P07821
P75957,P30750
P75957,P37009
P75957,Q47538
P75957,P77279
P75957,P0A9T8
P75957,P23878
P75957,P0AAG3
P75957,P10346
P75957,P0AAF6
P75957,P0AAI1
P75957,P0AAH8
P75957,P77622
P75957,P77268
P75957,P06611
P75957,P76909
P75957,P0A9X1
P75957,P37774
P75957,P33360
P75957,P33931
P75957,P07109
P75957,P63386
P75957,P0A9V1
P75957,P45769
P75957,P22731
P75957,P0A9S7
P75957,P0A9R7
P75957,P33593
P75957,P33594
P75957,P0AAG0
P75957,P0AAH0
P75957,P16679
P75957,P16678
P75957,P16677
P75957,P15031
P75958,P0ADC3
P75959,P23917
P75959,P0AF20
P75959,P50456
P75959,P45425
P75959,P32718
P0AFK9,P31133
P0AFK9,P76108
P0AFK6,P0AF01
P0AFK6,P0AFL1
P0AFK6,P77716
P0AFK6,P0AFR9
P0AFK6,P0AEB0
P0AFK6,P16701
P0AFK4,P0AF01
P0AFK4,P31135
P0AFK4,P77716
P0AFK4,P77156
P0AFK4,P0AEB0
P0AFK4,P16701
P69874,P30750
P69874,P37009
P69874,P31134
P69874,P0AAF6
P69874,P77795
P69874,P33360
P69874,P16676
P69874,P45769
P69874,P10907
P69874,P68187
P69874,P16678
P23837,P77485
P23836,P0AFJ5
P23836,P0ACZ8
P23836,P21866
P23836,P38684
P23836,P52108
P23836,P76340
P23836,P69228
P23836,P52076
P23836,P0AA16
P23836,P0AE88
P23836,P30843
P23836,P08368
P23836,P0A9Q1
P75966,P37765
P75966,P0AA43
P75966,P32684
P08200,P30125
P08200,P76251
P09153,P77163
P09153,P76155
P03014,P0ADI0
P03014,P77170
P75988,P77598
P75988,P76156
P75989,P33358
P04152,Q47155
P0A6J5,P37906
P29012,P0A6B4
P76007,P32703
P76011,P64485
P13482,P62601
P76016,P07604
P76016,Q46802
P76017,P45508
P0A7I0,P07012
P0ACC1,P39199
P0AF28,P0AEL8
P0AF28,P0AED5
P0AF28,P31802
P0AF28,P0DMC7
P0AF28,P0ACZ4
P0AF28,P0AGA6
P0AFA2,P27896
P10903,P37758
P09152,P19319
P11349,P19318
P0AF26,P19317
P11350,P0AF32
P0AEP3,P37744
P0AEP3,P0AAB6
P0AEP3,P61887
P0ACF8,P0ACG1
P25743,P0AEY1
P25743,P67143
P23843,P75797
P23843,Q47622
P23843,P77348
P23843,P76128
P23843,Q46863
P23843,P33590
P23843,P23847
P0AFH2,P75798
P0AFH2,P0AGH3
P0AFH2,P77308
P0AFH2,P0AFU0
P0AFH2,P33591
P0AFH2,P0AEF8
P0AFH6,P75799
P0AFH6,P0AGH5
P0AFH6,P77463
P0AFH6,P33915
P0AFH6,P0AFA9
P0AFH6,P0AEG1
P76027,P36879
P76027,P30750
P76027,P37009
P76027,P0A9T8
P76027,P23878
P76027,P0AAG3
P76027,P10346
P76027,P31134
P76027,P0AAF6
P76027,P77737
P76027,P0AAH8
P76027,P0AAH4
P76027,P77795
P76027,P77622
P76027,P77268
P76027,P37774
P76027,P33360
P76027,P07109
P76027,P16676
P76027,P63386
P76027,P0A9V1
P76027,P45769
P76027,P10907
P76027,P22731
P76027,P0A9S7
P76027,P0A9R7
P76027,P33593
P76027,P33594
P76027,P37313
P76027,P0AAG0
P76027,P0AAH0
P76027,P68187
P76027,P16678
P76027,P16677
P77737,P07821
P77737,P30750
P77737,P37009
P77737,P23878
P77737,P0AAG3
P77737,P10346
P77737,P0AAF6
P77737,P76027
P77737,P0AAH8
P77737,P0AAH4
P77737,P77795
P77737,P77622
P77737,P77268
P77737,P37774
P77737,P33360
P77737,P07109
P77737,P63386
P77737,P0A9V1
P77737,P45769
P77737,P0A9S7
P77737,P33593
P77737,P33594
P77737,P37313
P77737,P0AAG0
P77737,P0AAH0
P77737,P16678
P77737,P16677
P77737,P15031
P0A6H8,P0AA84
P0A6H8,P75919
P21361,P56614
P00895,P0AEJ2
P00895,P05041
P0AFR4,P45748
P37765,P75966
P37765,P0AA43
P37765,P32684
P31808,P0AFP4
P31808,P15047
P31808,P0AEK2
P31808,P39831
P31808,P0AET8
P31808,P33368
P31808,P37440
P31808,P76633
P31808,P37769
P31808,P52037
P31808,P0AG84
P31808,P39333
P31808,P0A9P9
P06612,P14294
P0A9F3,P27111
P0A9F3,P52696
P0A9F3,P77744
P0A9F3,P77171
P0A9F3,P77309
P0A9F3,P77559
P0A9F3,Q47083
P0A9F3,Q47005
P0A9F3,P0ACR4
P0A9F3,P23841
P0A9F3,P0ACR7
P0A9F3,Q47141
P0A9F3,P33634
P0A9F3,P03030
P0A9F3,P05827
P0A9F3,P0A9F9
P0A9F3,P0ACQ4
P76034,P0ACK5
P76034,P77721
P76034,P15082
P76034,P52598
P76034,P0ACK8
P76034,P0ACK2
P76034,P32144
P76034,P0A9W0
P76034,P39361
P77334,P13518
P77334,P37649
P30850,P21499
P0AEK4,P0AET8
P0AEK4,P39333
P0AAH8,P31548
P0AAH8,P36879
P0AAH8,P07821
P0AAH8,P30750
P0AAH8,P37009
P0AAH8,Q47538
P0AAH8,P77279
P0AAH8,P0A9T8
P0AAH8,P23878
P0AAH8,P0AAG3
P0AAH8,P10346
P0AAH8,P31134
P0AAH8,P0AAF6
P0AAH8,P0AAI1
P0AAH8,P75957
P0AAH8,P76027
P0AAH8,P77737
P0AAH8,P0AAH4
P0AAH8,P77795
P0AAH8,P77622
P0AAH8,P77268
P0AAH8,P76909
P0AAH8,P0A9X1
P0AAH8,P37774
P0AAH8,P33360
P0AAH8,P33931
P0AAH8,P07109
P0AAH8,P16676
P0AAH8,P63386
P0AAH8,P0A9V1
P0AAH8,P45769
P0AAH8,P22731
P0AAH8,P0A9S7
P0AAH8,P0A9R7
P0AAH8,P33593
P0AAH8,P33594
P0AAH8,P37313
P0AAH8,P0AAG0
P0AAH8,P0AAH0
P0AAH8,P68187
P0AAH8,P16678
P0AAH8,P16677
P0AAH8,P15031
P0AAH4,P07821
P0AAH4,P30750
P0AAH4,P0A9T8
P0AAH4,P0AAG3
P0AAH4,P10346
P0AAH4,P76027
P0AAH4,P77737
P0AAH4,P0AAH8
P0AAH4,P77795
P0AAH4,P77622
P0AAH4,P77268
P0AAH4,P37774
P0AAH4,P33360
P0AAH4,P07109
P0AAH4,P63386
P0AAH4,P0A9V1
P0AAH4,P45769
P0AAH4,P0A9S7
P0AAH4,P33593
P0AAH4,P33594
P0AAH4,P37313
P0AAH4,P0AAG0
P0AAH4,P0AAH0
P0AAH4,P16678
P0AAH4,P16677
P0AGH5,P75799
P0AGH5,P0AFH6
P0AGH5,P77463
P0AGH5,P33915
P0AGH5,P0AFA9
P0AGH5,P0AEG1
P0AGH3,P75798
P0AGH3,P0AFH2
P0AGH3,P77308
P0AGH3,P0AFU0
P0AGH3,P33591
P0AGH3,P0AEF8
Q47622,P75797
Q47622,P23843
Q47622,P77348
Q47622,P76128
Q47622,P33913
Q47622,Q46863
Q47622,P33590
Q47622,P23847
P76037,P15993
P76037,Q47689
P76037,P0AAE2
P76037,P77400
P76037,P24207
P76037,P0AAF1
P76037,P77610
P76037,P0AA47
P76037,P25737
P76037,P25527
P76037,P45539
P76037,P27837
P76037,P60061
P76037,P0AAE8
P76037,P39277
P76037,P0AAE0
P23883,P17445
P23883,P80668
P23883,P25553
P23883,P77674
P23883,P76149
P23883,P76217
P23883,P25526
P23883,P37685
P37906,P0A6J5
P50457,P23893
P50457,P12995
P50457,P77581
P50457,P22256
P50457,P42588
P50457,P18335
P37344,Q06065
P37344,P0AFU4
P37344,P0AFB8
P0AFR7,P10905
P77716,P0AFK6
P77716,P0AFK4
P77716,P10906
P77716,P10905
P77716,P68183
P77366,P77247
P77366,P77625
P77366,P77475
P77366,P32662
P77615,P0ACP1
P77615,P03023
P77615,P18811
P77615,P0ACP7
P77615,P25748
P77615,P24242
P77615,P03024
P77615,P06846
P77615,P0ACP5
P77615,P0ACQ0
P77615,P0ACN7
P77615,P36673
P77615,P39343
P07604,P76016
P51981,P38104
P51981,Q6BF17
P76049,P77538
P77333,P30864
P77333,Q57083
P77333,P75836
P77333,P76250
P77333,P46068
P77333,P0A9F6
P77333,P45463
P77333,P67662
P77333,P37641
P77348,P75797
P77348,P23843
P77348,Q47622
P77348,P76128
P77348,Q46863
P77348,P33590
P77348,P23847
P0AEB5,P0C0S1
P0CE52,P0CE49
P0CE52,P0CE50
P0CE52,P0CE51
P0CE52,P76071
P0CE52,P0CE53
P0CE52,P0CE54
P0CE52,P0CE55
P0CE52,P0CE56
P0CE52,P0CE57
P0CE52,P0CE58
P0A9E5,P0ACJ8
P77744,P27111
P77744,P52696
P77744,P0A9F3
P77744,P77171
P77744,P77309
P77744,P0ACR4
P77744,Q47141
P77744,P0ACQ7
P21693,P25888
P21693,P21507
P21693,P0A9P6
P21693,P0A8J8
P0ACW0,P0ACW8
P77546,P0AEF0
P58042,P58041
P23849,P0AFZ7
P76071,P0CE49
P76071,P0CE50
P76071,P0CE51
P76071,P0CE52
P76071,P0CE53
P76071,P0CE54
P76071,P0CE55
P76071,P0CE56
P76071,P0CE57
P76071,P0CE58
P77163,P09153
P77163,P76155
P0ADI0,P03014
P0ADI0,P77170
P76073,P76154
P37903,P39177
P77747,P02932
P77747,P02931
P77747,P06996
P52643,P0A9T0
P52643,P37666
P80668,P17445
P80668,P23883
P80668,P25553
P80668,P77674
P80668,P76149
P80668,P76217
P80668,P25526
P80668,P37685
P76081,P75824
P76081,P76254
P76081,P28861
P76082,P31551
P76082,P77467
P76082,P0ABU0
P76082,P52045
P77467,P31551
P77467,P76082
P77467,P0ABU0
P77467,P52045
P0C7L2,P76461
P0C7L2,P76503
P0C7L2,Q46939
P0C7L2,P21151
P77181,P39206
P77181,P0A9W9
P0CF54,P37007
P0CF54,P0CF53
P0CF54,P0CF55
P0CF54,P0CF56
P0CF54,P0CF57
P0CF54,P19769
P0CF54,P0CF58
P0CF41,P0CF40
P0CF41,P0CF42
P0CF41,P0CF43
P0CF41,P0CF44
P0CF41,P0CF45
P0CF89,P0CF88
P0CF89,P0CF90
P25906,P30863
P25906,P77735
P25906,P77256
P25906,P76234
P25906,P0A9T4
P25906,Q46851
P76091,P0ABG1
P25553,P17445
P25553,P23883
P25553,P80668
P25553,P77674
P25553,P76149
P25553,P76217
P25553,P25526
P25553,P37685
P0ABE5,P75925
P0ABE5,P76345
P05704,P02942
P77171,P27111
P77171,P52696
P77171,P0A9F3
P77171,P77744
P77171,P77559
P77171,Q47083
P77171,Q47005
P77171,P0ACR4
P77171,P0ACR7
P77171,Q47141
P77171,P05827
P77171,P0A9F9
P77171,P0ACQ4
P40120,P33136
P77730,P77434
P77730,P39389
P76108,P31133
P76108,P0AFK9
P77795,P36879
P77795,P07821
P77795,P30750
P77795,P37009
P77795,P77279
P77795,P23878
P77795,P0AAG3
P77795,P10346
P77795,P31134
P77795,P0AAF6
P77795,P0AAI1
P77795,P69874
P77795,P76027
P77795,P77737
P77795,P0AAH8
P77795,P0AAH4
P77795,P77622
P77795,P77268
P77795,P0A9X1
P77795,P37774
P77795,P33360
P77795,P07109
P77795,P16676
P77795,P63386
P77795,P0A9V1
P77795,P45769
P77795,P10907
P77795,P22731
P77795,P0A9S7
P77795,P33593
P77795,P37313
P77795,P0AAG0
P77795,P0AAH0
P77795,P68187
P77795,P16678
P77795,P16677
P77795,P15031
P77156,P31135
P77156,P0AFK4
P0AFR9,P0AF01
P0AFR9,P0AFL1
P0AFR9,P0AFK6
P0AFR9,P0AEB0
P0AFR9,P16701
P77674,P17445
P77674,P23883
P77674,P80668
P77674,P25553
P77674,P76149
P77674,P76217
P77674,P25526
P77674,P37685
P64453,P64646
P76114,P0ACM2
P76114,P37338
P76114,P31460
P76115,P06971
P76115,P75780
P76115,P13036
P77610,P15993
P77610,Q47689
P77610,P0AAE2
P77610,P77400
P77610,P24207
P77610,P0AAF1
P77610,P76037
P77610,P0AA47
P77610,P25737
P77610,P25527
P77610,P45539
P77610,P27837
P77610,P60061
P77610,P0AAE8
P77610,P39277
P77610,P0AAE0
P76117,P0A9D2
P28917,P28916
P28917,P28912
P0AF32,P11350
P19317,P0AF26
P19318,P11349
P19319,P09152
P37758,P10903
P24183,P32176
P0AAJ3,P0AAJ8
P0AAJ3,P0AAJ5
P0AEK7,P0AEL0
P67699,P0A9T6
P39451,P75691
P39451,P25437
P39451,P77316
P39451,P38105
P39451,P77280
P39451,P77539
P39451,P0A9S3
P39451,P77360
P39451,P07913
P39451,P28304
P39451,P39346
P39451,P27250
P39451,P39400
P77622,P31548
P77622,P36879
P77622,P07821
P77622,P30750
P77622,P37009
P77622,Q47538
P77622,P77279
P77622,P0A9T8
P77622,P23878
P77622,P0AAG3
P77622,P10346
P77622,P31134
P77622,P0AAF6
P77622,P75957
P77622,P76027
P77622,P77737
P77622,P0AAH8
P77622,P0AAH4
P77622,P77795
P77622,P77268
P77622,P06611
P77622,P0A9X1
P77622,P37774
P77622,P33360
P77622,P07109
P77622,P63386
P77622,P0A9V1
P77622,P45769
P77622,P10907
P77622,P22731
P77622,P0A9S7
P77622,P0A9R7
P77622,P33593
P77622,P33594
P77622,P37313
P77622,P0AAG0
P77622,P0AAH0
P77622,P16678
P77622,P16677
P77622,P15031
P77268,P31548
P77268,P36879
P77268,P07821
P77268,P30750
P77268,P37009
P77268,Q47538
P77268,P0A9T8
P77268,P23878
P77268,P0AAG3
P77268,P10346
P77268,P0AAF6
P77268,P75957
P77268,P76027
P77268,P77737
P77268,P0AAH8
P77268,P0AAH4
P77268,P77795
P77268,P77622
P77268,P06611
P77268,P0A9X1
P77268,P37774
P77268,P33360
P77268,P07109
P77268,P16676
P77268,P63386
P77268,P0A9V1
P77268,P45769
P77268,P10907
P77268,P22731
P77268,P0A9S7
P77268,P0A9R7
P77268,P33593
P77268,P33594
P77268,P37313
P77268,P0AAG0
P77268,P0AAH0
P77268,P16678
P77268,P16677
P77268,P15031
P77463,P75799
P77463,P0AFH6
P77463,P0AGH5
P77463,P33915
P77463,P0AFA9
P77463,P0AEG1
P77308,P75798
P77308,P0AFH2
P77308,P0AGH3
P77308,P0AFU0
P77308,P33591
P77308,P0AEF8
P76128,P75797
P76128,P23843
P76128,Q47622
P76128,P77348
P76128,Q46863
P76128,P33590
P76128,P23847
P63235,Q47689
P63235,P0AAF1
P63235,P75835
P63235,P42590
P63235,P60061
P63235,P0AAE8
P63235,P39282
P63235,P0AAE0
P69910,P69908
P31828,P05458
P76134,P25550
P77318,P31447
P77318,P25549
P77588,P08191
P77294,P08190
P77789,P38052
P77789,P75859
P77789,P04128
P77789,P39264
P77789,P08189
P77432,P55138
P77432,P11553
P77432,P09099
P77432,P37677
P77432,P0A6F3
P76141,P39356
P77257,P31060
P77257,P0A9U1
P77257,P75796
P77257,P43672
P77257,P0AAF3
P77257,P0AAG8
P77257,P33916
P77257,P77509
P77257,P37388
P77257,P04983
P77257,P32721
P77257,Q6BEX0
P77257,P0A9W3
P77672,P0AFS1
P77672,P0AE26
P77672,P23200
P77672,P77315
P77672,P0AGI4
P77672,P0AGI1
P77672,P32720
P77672,P39328
P77672,P37772
P0AFS1,P77672
P0AFS1,P0AE26
P0AFS1,P23200
P0AFS1,P77315
P0AFS1,P0AGI4
P0AFS1,P0AGI1
P0AFS1,P32720
P0AFS1,P39328
P0AFS1,P37772
P0A6L7,P77260
P0A6L7,P33029
P0A6L7,P39160
P76147,P0AAP1
P0A6W0,P77454
P76149,P17445
P76149,P23883
P76149,P80668
P76149,P25553
P76149,P77674
P76149,P76217
P76149,P25526
P76149,P37685
P77309,P27111
P77309,P52696
P77309,P0A9F3
P77309,P77744
P77309,P77559
P77309,Q47083
P77309,Q47005
P77309,P0ACR4
P77309,P23841
P77309,P0ACR7
P77309,Q47141
P77309,P33634
P77309,P03030
P77309,P0ACQ7
P77309,P05827
P77309,P0A9F9
P77309,P0ACQ4
P31122,P77589
P31122,P23910
P31122,P25744
P31122,P77389
P31122,P28246
P31122,P77549
P31122,P0AA80
P31122,P0ADL1
P31122,P31442
P31122,P39352
P31122,P39398
P0AEY1,P25743
P0AEY1,P67143
P27245,P0A8W2
P0ACH5,P0A9E2
P31125,P0AA70
P31125,P0AA73
P31125,P31437
P31125,P0ABT8
P31126,P02920
P31126,P69367
P31126,P33026
P31130,P0ADU5
P31131,P0A6G3
P24171,P27298
P39831,P0AFP4
P39831,P15047
P39831,P0AEK2
P39831,P31808
P39831,P0AET8
P39831,P33368
P39831,P37440
P39831,P05707
P39831,P76633
P39831,P37769
P39831,P52037
P39831,P0AG84
P39831,P39333
P39831,P0A9P9
P0ACM2,P76114
P0ACM2,P37338
P0ACM2,P0ACL5
P0ACM2,P31460
P0ACM2,P31475
P77260,P0A6L7
P77260,P33029
P77260,P39160
P76154,P76073
P77170,P03014
P77170,P0ADI0
P76155,P09153
